Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,9,D11,M,00:10:33.47,256499
1,10,D11,M,00:11:46.63,257092
1,1,D12,M,00:00:48.68,259198
1,2,D12,M,00:02:01.84,259477
1,3,D12,M,00:03:15.00,257731
1,4,D12,M,00:04:28.16,257491
1,5,D12,M,00:05:41.32,257916
1,6,D12,M,00:06:54.48,257932
1,7,D12,M,00:08:07.64,258120
1,8,D12,M,00:09:20.83,257397
1,9,D12,M,00:10:33.99,256904
1,10,D12,M,00:11:47.14,257452
1,1,E01,M,00:00:51.63,262913
1,2,E01,M,00:02:04.79,262351
1,3,E01,M,00:03:17.95,263000
1,4,E01,M,00:04:31.11,261714
1,5,E01,M,00:05:44.27,262111
1,6,E01,M,00:06:57.43,262210
1,7,E01,M,00:08:10.59,261675
1,8,E01,M,00:09:23.79,261726
1,9,E01,M,00:10:36.94,261661
1,10,E01,M,00:11:50.09,261580
1,1,E02,M,00:00:52.15,257751
1,2,E02,M,00:02:05.31,256927
1,3,E02,M,00:03:18.47,257050
1,4,E02,M,00:04:31.63,255788
1,5,E02,M,00:05:44.79,256226
1,6,E02,M,00:06:57.95,256700
1,7,E02,M,00:08:11.13,256493
1,8,E02,M,00:09:24.30,257364
1,9,E02,M,00:10:37.46,257369
1,10,E02,M,00:11:50.61,256359
1,1,E03,M,00:00:52.66,257770
1,2,E03,M,00:02:05.82,256599
1,3,E03,M,00:03:18.99,257715
1,4,E03,M,00:04:32.14,257057
1,5,E03,M,00:05:45.30,257043
1,6,E03,M,00:06:58.46,256694
1,7,E03,M,00:08:11.65,256386
1,8,E03,M,00:09:24.82,256208
1,9,E03,M,00:10:37.97,254980
1,10,E03,M,00:11:51.12,256541
1,1,E04,M,00:00:53.18,256754
1,2,E04,M,00:02:06.34,255522
1,3,E04,M,00:03:19.50,256416
1,4,E04,M,00:04:32.66,256283
1,5,E04,M,00:05:45.82,255070
1,6,E04,M,00:06:58.98,255852
1,7,E04,M,00:08:12.16,255097
1,8,E04,M,00:09:25.33,255791
1,9,E04,M,00:10:38.49,255157
1,10,E04,M,00:11:51.64,254933
1,1,E05,M,00:00:53.69,252126
1,2,E05,M,00:02:06.85,252108
1,3,E05,M,00:03:20.02,251213
1,4,E05,M,00:04:33.17,250965
1,5,E05,M,00:05:46.33,251528
1,6,E05,M,00:06:59.49,251589
1,7,E05,M,00:08:12.68,250912
1,8,E05,M,00:09:25.85,250654
1,9,E05,M,00:10:39.00,250605
1,10,E05,M,00:11:52.16,250437
1,1,E06,M,00:00:54.21,255670
1,2,E06,M,00:02:07.37,255380
1,3,E06,M,00:03:20.53,254610
1,4,E06,M,00:04:33.69,254421
1,5,E06,M,00:05:46.85,254845
1,6,E06,M,00:07:00.01,254559
1,7,E06,M,00:08:13.19,254769
1,8,E06,M,00:09:26.36,254002
1,9,E06,M,00:10:39.52,255033
1,10,E06,M,00:11:52.67,254290
1,1,E07,M,00:00:54.72,255402
1,2,E07,M,00:02:07.88,253632
1,3,E07,M,00:03:21.04,254632
1,4,E07,M,00:04:34.20,254272
1,5,E07,M,00:05:47.36,254388
1,6,E07,M,00:07:00.52,253940
1,7,E07,M,00:08:13.71,253585
1,8,E07,M,00:09:26.88,254640
1,9,E07,M,00:10:40.03,254048
1,10,E07,M,00:11:53.18,253845
1,1,E08,M,00:00:55.24,254942
1,2,E08,M,00:02:08.40,254489
1,3,E08,M,00:03:21.56,253845
1,4,E08,M,00:04:34.72,253862
1,5,E08,M,00:05:47.88,253945
