Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,10,E07,M,00:12:37.71,8384780
1,1,E08,M,00:00:51.87,8556460
1,2,E08,M,00:02:10.36,8372063
1,3,E08,M,00:03:28.84,8416068
1,4,E08,M,00:04:47.33,8516003
1,5,E08,M,00:06:05.82,8464941
1,6,E08,M,00:07:24.30,8443748
1,7,E08,M,00:08:42.79,8590383
1,8,E08,M,00:10:01.30,8435935
1,9,E08,M,00:11:19.79,8606369
1,10,E08,M,00:12:38.28,8581038
1,1,E09,M,00:00:52.44,8394867
1,2,E09,M,00:02:10.93,8527507
1,3,E09,M,00:03:29.41,8505128
1,4,E09,M,00:04:47.90,8503714
1,5,E09,M,00:06:06.39,8602702
1,6,E09,M,00:07:24.87,8507646
1,7,E09,M,00:08:43.36,8354508
1,8,E09,M,00:10:01.87,8572655
1,9,E09,M,00:11:20.36,8430919
1,10,E09,M,00:12:38.85,8582945
1,1,E10,M,00:00:53.01,8727007
1,2,E10,M,00:02:11.50,8474535
1,3,E10,M,00:03:29.98,8292925
1,4,E10,M,00:04:48.47,8488606
1,5,E10,M,00:06:06.96,8415016
1,6,E10,M,00:07:25.44,8430235
1,7,E10,M,00:08:43.93,8460567
1,8,E10,M,00:10:02.44,8411726
1,9,E10,M,00:11:20.93,8426674
1,10,E10,M,00:12:39.42,8489975
1,1,E11,M,00:00:53.58,8517880
1,2,E11,M,00:02:12.07,8424997
1,3,E11,M,00:03:30.55,8475909
1,4,E11,M,00:04:49.04,8409233
1,5,E11,M,00:06:07.53,8460166
1,6,E11,M,00:07:26.01,8543857
1,7,E11,M,00:08:44.50,8327216
1,8,E11,M,00:10:03.01,8643856
1,9,E11,M,00:11:21.50,8392463
1,10,E11,M,00:12:39.99,8282290
1,1,E12,M,00:00:54.15,8486463
1,2,E12,M,00:02:12.64,8494907
1,3,E12,M,00:03:31.12,8557252
1,4,E12,M,00:04:49.61,8448185
1,5,E12,M,00:06:08.10,8583522
1,6,E12,M,00:07:26.58,8382565
1,7,E12,M,00:08:45.07,8373514
1,8,E12,M,00:10:03.58,8482351
1,9,E12,M,00:11:22.07,8355415
1,10,E12,M,00:12:40.56,8446416
1,1,F01,M,00:00:57.16,8458921
1,2,F01,M,00:02:15.65,8360897
1,3,F01,M,00:03:34.13,8371421
1,4,F01,M,00:04:52.62,8373877
1,5,F01,M,00:06:11.11,8355293
1,6,F01,M,00:07:29.59,8314567
1,7,F01,M,00:08:48.08,8250575
1,8,F01,M,00:10:06.59,8325675
1,9,F01,M,00:11:25.08,8635645
1,10,F01,M,00:12:43.57,8214215
1,1,F02,M,00:00:57.73,8351442
1,2,F02,M,00:02:16.22,8273980
1,3,F02,M,00:03:34.70,8376912
1,4,F02,M,00:04:53.19,8297810
1,5,F02,M,00:06:11.68,8397145
1,6,F02,M,00:07:30.16,8343775
1,7,F02,M,00:08:48.65,8405127
1,8,F02,M,00:10:07.16,8440098
1,9,F02,M,00:11:25.65,8419870
1,10,F02,M,00:12:44.14,8468848
1,1,F03,M,00:00:58.30,8394549
1,2,F03,M,00:02:16.79,8394144
1,3,F03,M,00:03:35.27,8567144
1,4,F03,M,00:04:53.76,8359643
1,5,F03,M,00:06:12.25,8436411
1,6,F03,M,00:07:30.73,8506580
1,7,F03,M,00:08:49.22,8432269
1,8,F03,M,00:10:07.73,8279272
1,9,F03,M,00:11:26.22,8306489
1,10,F03,M,00:12:44.71,8287060
1,1,F04,M,00:00:58.87,8429842
1,2,F04,M,00:02:17.36,8381133
1,3,F04,M,00:03:35.84,8444993
1,4,F04,M,00:04:54.33,8285065
1,5,F04,M,00:06:12.81,8284819
1,6,F04,M,00:07:31.30,8461374
1,7,F04,M,00:08:49.79,8518536
1,8,F04,M,00:10:08.30,8443521
1,9,F04,M,00:11:26.79,8317492
1,10,F04,M,00:12:45.28,8442997
1,1,F05,M,00:00:59.44,8367490
1,2,F05,M,00:02:17.93,8587051
1,3,F05,M,00:03:36.41,8534695
1,4,F05,M,00:04:54.90,8614938
1,5,F05,M,00:06:13.38,8428230
1,6,F05,M,00:07:31.87,8469075
1,7,F05,M,00:08:50.36,8473600
1,8,F05,M,00:10:08.87,8467225
1,9,F05,M,00:11:27.36,8451382
