Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,6,C06,M,00:06:38.83,254237
1,7,C06,M,00:07:51.99,252926
1,8,C06,M,00:09:05.15,252311
1,9,C06,M,00:10:18.31,252227
1,10,C06,M,00:11:31.49,252548
1,1,C07,M,00:00:33.52,252205
1,2,C07,M,00:01:46.68,252839
1,3,C07,M,00:02:59.83,251769
1,4,C07,M,00:04:12.99,252783
1,5,C07,M,00:05:26.17,252675
1,6,C07,M,00:06:39.35,251905
1,7,C07,M,00:07:52.50,252640
1,8,C07,M,00:09:05.66,252217
1,9,C07,M,00:10:18.82,252818
1,10,C07,M,00:11:32.01,253243
1,1,C08,M,00:00:34.04,254580
1,2,C08,M,00:01:47.19,254300
1,3,C08,M,00:03:00.35,253554
1,4,C08,M,00:04:13.51,252751
1,5,C08,M,00:05:26.69,254913
1,6,C08,M,00:06:39.86,254117
1,7,C08,M,00:07:53.02,252940
1,8,C08,M,00:09:06.18,254394
1,9,C08,M,00:10:19.34,253348
1,10,C08,M,00:11:32.52,255516
1,1,C09,M,00:00:34.55,254689
1,2,C09,M,00:01:47.71,254246
1,3,C09,M,00:03:00.86,253647
1,4,C09,M,00:04:14.02,255325
1,5,C09,M,00:05:27.20,254561
1,6,C09,M,00:06:40.38,253997
1,7,C09,M,00:07:53.53,253806
1,8,C09,M,00:09:06.69,254447
1,9,C09,M,00:10:19.85,254770
1,10,C09,M,00:11:33.04,254128
1,1,C10,M,00:00:35.07,254348
1,2,C10,M,00:01:48.22,253840
1,3,C10,M,00:03:01.38,253600
1,4,C10,M,00:04:14.54,254142
1,5,C10,M,00:05:27.72,253235
1,6,C10,M,00:06:40.89,253780
1,7,C10,M,00:07:54.05,253388
1,8,C10,M,00:09:07.21,253361
1,9,C10,M,00:10:20.37,255111
1,10,C10,M,00:11:33.55,253405
1,1,C11,M,00:00:35.58,253708
1,2,C11,M,00:01:48.74,253662
1,3,C11,M,00:03:01.89,252850
1,4,C11,M,00:04:15.05,253361
1,5,C11,M,00:05:28.23,253971
1,6,C11,M,00:06:41.41,253790
1,7,C11,M,00:07:54.56,253811
1,8,C11,M,00:09:07.72,253507
1,9,C11,M,00:10:20.88,254630
1,10,C11,M,00:11:34.07,254303
1,1,C12,M,00:00:36.10,259276
1,2,C12,M,00:01:49.25,258009
1,3,C12,M,00:03:02.41,257933
1,4,C12,M,00:04:15.57,258200
1,5,C12,M,00:05:28.75,258717
1,6,C12,M,00:06:41.92,257994
1,7,C12,M,00:07:55.08,258192
1,8,C12,M,00:09:08.24,259373
1,9,C12,M,00:10:21.40,259025
1,10,C12,M,00:11:34.58,259305
1,1,D01,M,00:00:39.05,259227
1,2,D01,M,00:01:52.21,259244
1,3,D01,M,00:03:05.36,259330
1,4,D01,M,00:04:18.52,259593
1,5,D01,M,00:05:31.70,259289
1,6,D01,M,00:06:44.88,258361
1,7,D01,M,00:07:58.03,258492
1,8,D01,M,00:09:11.19,259800
1,9,D01,M,00:10:24.35,258927
1,10,D01,M,00:11:37.54,258969
1,1,D02,M,00:00:39.57,257644
1,2,D02,M,00:01:52.72,255914
1,3,D02,M,00:03:05.88,256734
1,4,D02,M,00:04:19.04,256233
1,5,D02,M,00:05:32.21,255686
1,6,D02,M,00:06:45.39,256169
1,7,D02,M,00:07:58.55,256341
1,8,D02,M,00:09:11.71,256770
1,9,D02,M,00:10:24.87,256818
1,10,D02,M,00:11:38.05,255587
1,1,D03,M,00:00:40.08,245571
1,2,D03,M,00:01:53.24,244487
1,3,D03,M,00:03:06.39,244068
1,4,D03,M,00:04:19.55,244267
1,5,D03,M,00:05:32.73,244967
1,6,D03,M,00:06:45.91,245228
1,7,D03,M,00:07:59.06,245149
1,8,D03,M,00:09:12.22,245769
1,9,D03,M,00:10:25.38,245017
1,10,D03,M,00:11:38.57,245441
1,1,D04,M,00:00:40.60,254660
1,2,D04,M,00:01:53.75,253242
1,3,D04,M,00:03:06.91,253709
1,4,D04,M,00:04:20.07,253759
1,5,D04,M,00:05:33.24,253807
1,6,D04,M,00:06:46.42,252280
1,7,D04,M,00:07:59.58,254204
1,8,D04,M,00:09:12.74,254208
1,9,D04,M,00:10:25.90,255441
1,10,D04,M,00:11:39.08,253016
1,1,D05,M,00:00:41.11,254170
1,2,D05,M,00:01:54.27,252930
1,3,D05,M,00:03:07.42,252423
1,4,D05,M,00:04:20.58,254059
1,5,D05,M,00:05:33.76,253193
1,6,D05,M,00:06:46.94,253433
1,7,D05,M,00:08:00.09,253678
1,8,D05,M,00:09:13.25,254598
1,9,D05,M,00:10:26.41,253504
1,10,D05,M,00:11:39.60,253794
1,1,D06,M,00:00:41.63,252689
1,2,D06,M,00:01:54.78,253238
1,3,D06,M,00:03:07.94,253498
1,4,D06,M,00:04:21.10,253157
1,5,D06,M,00:05:34.28,252728
1,6,D06,M,00:06:47.45,253590
1,7,D06,M,00:08:00.61,251802
1,8,D06,M,00:09:13.77,253356
1,9,D06,M,00:10:26.93,253583
1,10,D06,M,00:11:40.11,253212
1,1,D07,M,00:00:42.14,255443
1,2,D07,M,00:01:55.30,253981
1,3,D07,M,00:03:08.45,254337
1,4,D07,M,00:04:21.61,254250
1,5,D07,M,00:05:34.79,254349
1,6,D07,M,00:06:47.97,253654
1,7,D07,M,00:08:01.12,254949
1,8,D07,M,00:09:14.28,254148
1,9,D07,M,00:10:27.44,253659
1,10,D07,M,00:11:40.63,255400
1,1,D08,M,00:00:42.66,251210
1,2,D08,M,00:01:55.81,250345
1,3,D08,M,00:03:08.97,251768
1,4,D08,M,00:04:22.13,251739
1,5,D08,M,00:05:35.30,251456
1,6,D08,M,00:06:48.48,250448
1,7,D08,M,00:08:01.64,249959
