Plate,Repeat,Well,Type,Time,Fluorescein High Count (0.1s) (RFU)
1,14,C03,M,00:06:28.94,1910639
1,15,C03,M,00:06:56.72,1918820
1,16,C03,M,00:07:24.51,1929870
1,17,C03,M,00:07:52.32,1922509
1,18,C03,M,00:08:20.11,1933692
1,19,C03,M,00:08:47.89,1937101
1,20,C03,M,00:09:15.68,1951657
1,1,C04,M,00:00:28.13,715036
1,2,C04,M,00:00:55.92,712114
1,3,C04,M,00:01:23.70,715083
1,4,C04,M,00:01:51.49,711799
1,5,C04,M,00:02:19.27,717994
1,6,C04,M,00:02:47.06,716165
1,7,C04,M,00:03:14.87,725904
1,8,C04,M,00:03:42.66,715410
1,9,C04,M,00:04:10.44,717272
1,10,C04,M,00:04:38.23,723263
1,11,C04,M,00:05:06.03,732032
1,12,C04,M,00:05:33.81,736100
1,13,C04,M,00:06:01.59,740245
1,14,C04,M,00:06:29.40,740591
1,15,C04,M,00:06:57.19,746577
1,16,C04,M,00:07:24.97,754275
1,17,C04,M,00:07:52.79,745391
1,18,C04,M,00:08:20.57,749994
1,19,C04,M,00:08:48.36,754924
1,20,C04,M,00:09:16.14,756381
1,1,C05,M,00:00:28.60,315815
1,2,C05,M,00:00:56.38,311690
1,3,C05,M,00:01:24.17,311121
1,4,C05,M,00:01:51.95,312564
1,5,C05,M,00:02:19.74,317024
1,6,C05,M,00:02:47.52,315774
1,7,C05,M,00:03:15.34,310375
1,8,C05,M,00:03:43.12,310863
1,9,C05,M,00:04:10.91,313740
1,10,C05,M,00:04:38.70,315106
1,11,C05,M,00:05:06.49,317479
1,12,C05,M,00:05:34.28,321216
1,13,C05,M,00:06:02.06,321169
1,14,C05,M,00:06:29.87,320817
1,15,C05,M,00:06:57.65,323511
1,16,C05,M,00:07:25.44,322024
1,17,C05,M,00:07:53.25,318999
1,18,C05,M,00:08:21.04,321226
1,19,C05,M,00:08:48.82,323573
1,20,C05,M,00:09:16.61,325320
1,1,C06,M,00:00:29.07,144330
1,2,C06,M,00:00:56.85,140688
1,3,C06,M,00:01:24.63,137831
1,4,C06,M,00:01:52.42,137754
1,5,C06,M,00:02:20.20,138218
1,6,C06,M,00:02:47.98,139064
1,7,C06,M,00:03:15.80,138434
1,8,C06,M,00:03:43.59,139298
1,9,C06,M,00:04:11.37,141529
1,10,C06,M,00:04:39.16,136580
1,11,C06,M,00:05:06.96,139896
1,12,C06,M,00:05:34.74,141340
1,13,C06,M,00:06:02.52,140904
1,14,C06,M,00:06:30.33,141449
1,15,C06,M,00:06:58.12,140899
1,16,C06,M,00:07:25.90,143696
1,17,C06,M,00:07:53.72,142317
1,18,C06,M,00:08:21.50,142582
1,19,C06,M,00:08:49.29,143312
1,20,C06,M,00:09:17.07,142901
1,1,C07,M,00:00:29.53,68103
1,2,C07,M,00:00:57.31,65917
1,3,C07,M,00:01:25.10,68185
1,4,C07,M,00:01:52.88,63544
1,5,C07,M,00:02:20.67,66125
1,6,C07,M,00:02:48.45,65353
1,7,C07,M,00:03:16.27,64951
1,8,C07,M,00:03:44.06,64580
1,9,C07,M,00:04:11.84,66063
1,10,C07,M,00:04:39.62,63361
1,11,C07,M,00:05:07.42,64306
1,12,C07,M,00:05:35.21,66496
1,13,C07,M,00:06:02.99,67139
1,14,C07,M,00:06:30.80,67874
1,15,C07,M,00:06:58.58,66990
1,16,C07,M,00:07:26.37,66164
1,17,C07,M,00:07:54.18,67029
1,18,C07,M,00:08:21.97,66836
1,19,C07,M,00:08:49.75,64446
1,20,C07,M,00:09:17.54,65213
1,1,C08,M,00:00:30.00,32337
1,2,C08,M,00:00:57.78,33181
1,3,C08,M,00:01:25.56,33339
1,4,C08,M,00:01:53.35,33210
1,5,C08,M,00:02:21.13,33131
1,6,C08,M,00:02:48.91,34309
1,7,C08,M,00:03:16.73,32642
1,8,C08,M,00:03:44.52,32472
1,9,C08,M,00:04:12.30,31573
1,10,C08,M,00:04:40.09,32094
1,11,C08,M,00:05:07.89,33484
1,12,C08,M,00:05:35.67,32263
1,13,C08,M,00:06:03.45,33810
1,14,C08,M,00:06:31.26,31900
1,15,C08,M,00:06:59.05,32631
1,16,C08,M,00:07:26.83,34068
1,17,C08,M,00:07:54.65,32609
1,18,C08,M,00:08:22.43,33096
1,19,C08,M,00:08:50.22,33215
1,20,C08,M,00:09:18.00,33481
1,1,C09,M,00:00:30.46,22358
1,2,C09,M,00:00:58.24,22047
1,3,C09,M,00:01:26.03,22247
1,4,C09,M,00:01:53.81,21830
1,5,C09,M,00:02:21.60,21283
1,6,C09,M,00:02:49.38,22690
1,7,C09,M,00:03:17.20,22357
1,8,C09,M,00:03:44.98,22157
1,9,C09,M,00:04:12.77,22154
1,10,C09,M,00:04:40.55,20768
1,11,C09,M,00:05:08.35,21511
1,12,C09,M,00:05:36.14,22142
1,13,C09,M,00:06:03.92,22144
1,14,C09,M,00:06:31.73,22771
1,15,C09,M,00:06:59.51,22057
1,16,C09,M,00:07:27.30,22608
1,17,C09,M,00:07:55.11,23012
1,18,C09,M,00:08:22.90,22551
1,19,C09,M,00:08:50.68,22054
1,20,C09,M,00:09:18.47,22978
1,1,C10,M,00:00:30.93,10991
1,2,C10,M,00:00:58.71,10295
1,3,C10,M,00:01:26.49,10333
1,4,C10,M,00:01:54.28,9761
1,5,C10,M,00:02:22.06,10156
1,6,C10,M,00:02:49.84,10289
1,7,C10,M,00:03:17.66,10816
1,8,C10,M,00:03:45.45,10024
1,9,C10,M,00:04:13.23,9582
1,10,C10,M,00:04:41.02,10269
1,11,C10,M,00:05:08.82,10730
1,12,C10,M,00:05:36.60,9684
1,13,C10,M,00:06:04.38,11143
1,14,C10,M,00:06:32.19,9941
1,15,C10,M,00:06:59.98,10045
1,16,C10,M,00:07:27.76,10282
1,17,C10,M,00:07:55.58,10048
1,18,C10,M,00:08:23.36,10666
1,19,C10,M,00:08:51.15,10042
1,20,C10,M,00:09:18.93,9897
1,1,C11,M,00:00:31.39,5620
1,2,C11,M,00:00:59.18,6240
1,3,C11,M,00:01:26.96,5753
