Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,16,B09,M,58:13.4,68392
1,17,B09,M,59:31.9,59150
1,18,B09,M,00:50.4,51393
1,19,B09,M,02:08.8,59058
1,20,B09,M,03:27.3,51332
1,21,B09,M,04:45.7,61731
1,1,B10,M,00:27.7,36216
1,2,B10,M,01:46.1,39711
1,3,B10,M,03:04.6,41725
1,4,B10,M,04:23.1,36955
1,5,B10,M,05:41.5,42021
1,6,B10,M,07:00.0,40648
1,7,B10,M,08:18.4,37234
1,8,B10,M,09:36.9,37462
1,9,B10,M,10:55.3,38983
1,10,B10,M,12:13.8,36614
1,11,B10,M,13:32.3,36842
1,12,B10,M,14:50.8,37987
1,13,B10,M,16:09.3,32489
1,14,B10,M,55:37.1,36856
1,15,B10,M,56:55.5,48100
1,16,B10,M,58:14.0,41873
1,17,B10,M,59:32.4,39654
1,18,B10,M,00:50.9,43332
1,19,B10,M,02:09.4,42981
1,20,B10,M,03:27.9,34288
1,21,B10,M,04:46.3,39761
1,1,B11,M,00:28.3,31392
1,2,B11,M,01:46.7,26123
1,3,B11,M,03:05.2,24317
1,4,B11,M,04:23.6,26740
1,5,B11,M,05:42.1,30799
1,6,B11,M,07:00.5,32426
1,7,B11,M,08:19.0,29236
1,8,B11,M,09:37.4,28688
1,9,B11,M,10:55.9,25388
1,10,B11,M,12:14.4,28304
1,11,B11,M,13:32.9,28098
1,12,B11,M,14:51.3,28218
1,13,B11,M,16:09.8,28208
1,14,B11,M,55:37.7,32564
1,15,B11,M,56:56.1,27505
1,16,B11,M,58:14.6,32795
1,17,B11,M,59:33.0,31989
1,18,B11,M,00:51.5,29678
1,19,B11,M,02:10.0,33009
1,20,B11,M,03:28.4,30099
1,21,B11,M,04:46.9,35822
1,1,B12,M,00:28.9,4910
1,2,B12,M,01:47.3,9685
1,3,B12,M,03:05.7,6016
1,4,B12,M,04:24.2,7727
1,5,B12,M,05:42.7,5433
1,6,B12,M,07:01.1,7880
1,7,B12,M,08:19.5,9448
1,8,B12,M,09:38.0,7611
1,9,B12,M,10:56.5,7694
1,10,B12,M,12:15.0,6917
1,11,B12,M,13:33.4,8003
1,12,B12,M,14:51.9,6152
1,13,B12,M,16:10.4,6929
1,14,B12,M,55:38.3,7884
1,15,B12,M,56:56.7,11327
1,16,B12,M,58:15.1,6170
1,17,B12,M,59:33.6,5661
1,18,B12,M,00:52.1,9649
1,19,B12,M,02:10.5,7617
1,20,B12,M,03:29.0,10651
1,21,B12,M,04:47.4,6186
1,1,C01,M,00:31.9,792381
1,2,C01,M,01:50.3,839868
1,3,C01,M,03:08.8,791094
1,4,C01,M,04:27.2,808346
1,5,C01,M,05:45.7,802813
1,6,C01,M,07:04.1,840213
1,7,C01,M,08:22.6,807125
1,8,C01,M,09:41.0,808925
1,9,C01,M,10:59.5,832340
1,10,C01,M,12:18.0,843186
1,11,C01,M,13:36.4,841362
1,12,C01,M,14:54.9,818427
1,13,C01,M,16:13.4,832387
1,14,C01,M,55:41.3,1031409
1,15,C01,M,56:59.7,1073895
1,16,C01,M,58:18.2,1108614
1,17,C01,M,59:36.6,1117853
1,18,C01,M,00:55.1,1090471
1,19,C01,M,02:13.5,1087490
1,20,C01,M,03:32.0,964327
1,21,C01,M,04:50.4,1150894
1,1,C02,M,00:32.4,582336
1,2,C02,M,01:50.8,554903
1,3,C02,M,03:09.3,564189
1,4,C02,M,04:27.8,542848
1,5,C02,M,05:46.2,555909
1,6,C02,M,07:04.7,556813
1,7,C02,M,08:23.1,570114
1,8,C02,M,09:41.6,578951
1,9,C02,M,11:00.1,594858
1,10,C02,M,12:18.5,578121
1,11,C02,M,13:37.0,571479
1,12,C02,M,14:55.5,582378
1,13,C02,M,16:14.0,583178
1,14,C02,M,55:41.8,785163
1,15,C02,M,57:00.3,767261
1,16,C02,M,58:18.7,776913
1,17,C02,M,59:37.2,607817
1,18,C02,M,00:55.6,770657
1,19,C02,M,02:14.1,774906
1,20,C02,M,03:32.6,760611
1,21,C02,M,04:51.0,765852
1,1,C03,M,00:33.0,294363
1,2,C03,M,01:51.4,352095
1,3,C03,M,03:09.9,364138
1,4,C03,M,04:28.4,346446
1,5,C03,M,05:46.8,352438
1,6,C03,M,07:05.3,360491
1,7,C03,M,08:23.7,360888
1,8,C03,M,09:42.2,363886
1,9,C03,M,11:00.6,352011
1,10,C03,M,12:19.1,346710
1,11,C03,M,13:37.6,373299
1,12,C03,M,14:56.1,379907
1,13,C03,M,16:14.6,375210
1,14,C03,M,55:42.4,465009
1,15,C03,M,57:00.8,459067
1,16,C03,M,58:19.3,455369
1,17,C03,M,59:37.7,469168
1,18,C03,M,00:56.2,462771
1,19,C03,M,02:14.7,518534
1,20,C03,M,03:33.1,456840
1,21,C03,M,04:51.6,457297
1,1,C04,M,00:33.6,253809
1,2,C04,M,01:52.0,242794
1,3,C04,M,03:10.5,251446
1,4,C04,M,04:28.9,242631
