Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,6,C11,M,00:07:05.82,8317142
1,7,C11,M,00:08:24.31,8173643
1,8,C11,M,00:09:42.79,8272408
1,9,C11,M,00:11:01.28,8218763
1,10,C11,M,00:12:19.77,8237411
1,1,C12,M,00:00:33.88,8285043
1,2,C12,M,00:01:52.37,8263479
1,3,C12,M,00:03:10.86,8178826
1,4,C12,M,00:04:29.37,8292976
1,5,C12,M,00:05:47.89,8056469
1,6,C12,M,00:07:06.39,8167674
1,7,C12,M,00:08:24.88,8366032
1,8,C12,M,00:09:43.36,8211368
1,9,C12,M,00:11:01.85,8191636
1,10,C12,M,00:12:20.34,8183118
1,1,D01,M,00:00:36.89,8403492
1,2,D01,M,00:01:55.38,8233205
1,3,D01,M,00:03:13.87,8211169
1,4,D01,M,00:04:32.38,8219774
1,5,D01,M,00:05:50.90,8224856
1,6,D01,M,00:07:09.40,8258113
1,7,D01,M,00:08:27.89,8241547
1,8,D01,M,00:09:46.38,8120512
1,9,D01,M,00:11:04.86,8050342
1,10,D01,M,00:12:23.35,8152223
1,1,D02,M,00:00:37.46,8190183
1,2,D02,M,00:01:55.95,8113727
1,3,D02,M,00:03:14.43,8032521
1,4,D02,M,00:04:32.95,7990690
1,5,D02,M,00:05:51.46,8117664
1,6,D02,M,00:07:09.97,8240086
1,7,D02,M,00:08:28.46,8208631
1,8,D02,M,00:09:46.94,8215885
1,9,D02,M,00:11:05.43,8109163
1,10,D02,M,00:12:23.91,8166166
1,1,D03,M,00:00:38.03,8401045
1,2,D03,M,00:01:56.52,8249518
1,3,D03,M,00:03:15.00,8201096
1,4,D03,M,00:04:33.52,8152429
1,5,D03,M,00:05:52.03,8261101
1,6,D03,M,00:07:10.54,7996240
1,7,D03,M,00:08:29.03,8184524
1,8,D03,M,00:09:47.51,8173997
1,9,D03,M,00:11:06.00,8200414
1,10,D03,M,00:12:24.48,8110277
1,1,D04,M,00:00:38.60,8285341
1,2,D04,M,00:01:57.09,8291708
1,3,D04,M,00:03:15.57,8186012
1,4,D04,M,00:04:34.09,8095463
1,5,D04,M,00:05:52.60,8186374
1,6,D04,M,00:07:11.11,8294566
1,7,D04,M,00:08:29.60,8271236
1,8,D04,M,00:09:48.08,8494165
1,9,D04,M,00:11:06.57,8254549
1,10,D04,M,00:12:25.06,8300047
1,1,D05,M,00:00:39.17,8441123
1,2,D05,M,00:01:57.66,8154689
1,3,D05,M,00:03:16.14,8217071
1,4,D05,M,00:04:34.66,8319745
1,5,D05,M,00:05:53.17,8185947
1,6,D05,M,00:07:11.68,8286188
1,7,D05,M,00:08:30.17,8157425
1,8,D05,M,00:09:48.65,8225133
1,9,D05,M,00:11:07.14,8094614
1,10,D05,M,00:12:25.63,8199673
1,1,D06,M,00:00:39.74,8188943
1,2,D06,M,00:01:58.23,8136532
1,3,D06,M,00:03:16.71,8355993
1,4,D06,M,00:04:35.23,8253328
1,5,D06,M,00:05:53.74,8287975
1,6,D06,M,00:07:12.25,8326382
1,7,D06,M,00:08:30.74,8260758
1,8,D06,M,00:09:49.22,8297609
1,9,D06,M,00:11:07.71,8211328
1,10,D06,M,00:12:26.19,8462050
1,1,D07,M,00:00:40.31,8265692
1,2,D07,M,00:01:58.80,8396245
1,3,D07,M,00:03:17.28,8380257
1,4,D07,M,00:04:35.80,8327154
1,5,D07,M,00:05:54.31,8414743
1,6,D07,M,00:07:12.82,8239141
1,7,D07,M,00:08:31.31,8293231
1,8,D07,M,00:09:49.79,8432321
1,9,D07,M,00:11:08.28,8252460
1,10,D07,M,00:12:26.76,8308686
1,1,D08,M,00:00:40.88,8349651
1,2,D08,M,00:01:59.37,8390941
